id,interest_code,name
11,11,Coloring
12,12,Computer programming
13,13,Conlanging
14,14,Cooking
15,15,Cosplaying
16,16,Creative writing
17,17,Crocheting
18,18,Dance
19,19,Drawing
20,20,Embroidery
21,21,Fantasy Football
22,22,Fishkeeping
23,23,Foreign language learning
24,24,Gaming (tabletop games and role-playing games)
25,25,Genealogy
26,26,Genetic genealogy
27,27,Herpetoculture
28,28,Home Movies
29,29,Homebrewing
30,30,Jewelry making
31,31,Juggling
32,32,Knapping
33,33,Knitting
34,34,Lacemaking
35,35,Lapidary
36,36,Leather crafting
37,37,Lego Building
38,38,Locksport
39,39,Magic
40,40,Model Building
41,41,Model Railroading
42,42,Musical instruments
43,43,Origami
44,44,Painting
45,45,Ping Pong
46,46,Pottery
47,47,Quilting
48,48,RC cars
49,49,Reading
50,50,Scrapbooking
51,51,Sculpting
52,52,Sewing
53,53,Singing
54,54,Soapmaking
55,55,Taxidermy
56,56,Video Gaming
57,57,Wood carving
58,58,Woodworking
59,59,Worldbuilding
60,60,Writing
61,61,Yoga
62,62,Yo-yoing
63,63,Outdoors
64,64,Air sports
65,65,Backpacking
66,66,BASE jumping
67,67,Baseball
68,68,Basketball
69,69,Beekeeping
70,70,Bird watching
71,71,Board sports
72,72,Bonsai
73,73,Driving
74,74,Foraging
75,75,Gardening
76,76,Geocaching
77,77,Ghost Hunting
78,78,Graffiti
79,79,Hiking
80,80,Hooping
81,81,Hunting
82,82,Inline Skating
83,83,Jogging
84,84,Kayaking
85,85,Kiteboarding
86,86,Kiteflying
87,87,LARPing
88,88,Machining
89,89,Metal detecting
90,90,Motor sports
91,91,Mountain biking
92,92,Mushroom Hunting or Mycology
93,93,Nordic skating
94,94,Paint Ball
95,95,Parkour
96,96,Photography
97,97,Rock climbing
98,98,Roller skating
99,99,Rugby
100,100,Running
101,101,Sailing
102,102,Sand castle building
103,103,Sculling or Rowing
104,104,Shooting
105,105,Skating
106,106,Skiing
107,107,Skydiving
108,108,Surfing
109,109,Snowboarding
110,110,Swimming
111,111,Tai Chi
112,112,Urban exploration
113,113,Vehicle restoration
114,114,Water sports
115,115,Collection hobbies
116,116,Antiquing
117,117,Art collecting
118,118,Book collecting
119,119,Card collecting
120,120,Coin collecting
121,121,Deltiology (Postcard collecting)
122,122,Element collecting
123,123,Modelling
124,124,Record collecting
125,125,Stamp collecting
126,126,Stone collecting
127,127,Vintage Books
128,128,Vintage car
129,129,Vintage clothing
130,130,Antiquities
131,131,Auto audiophilia
132,132,Flower collecting and pressing
133,133,Fossil hunting
134,134,Insect collecting
135,135,Leaf collecting and pressing
136,136,Mineral collecting
137,137,Rock stacking
138,138,Seaglass collecting
139,139,Seashell collecting
140,140,Competition hobbies
141,141,Animal showing
142,142,Badminton
143,143,Billiards
144,144,Bowling
145,145,Boxing
146,146,Bridge
147,147,Cheerleading
148,148,Chess
149,149,Color Guard
150,150,Cubing
151,151,Cricket (Indoor)
152,152,Dancing
153,153,Darts
154,154,Fencing
155,155,Gaming
156,156,Go
157,157,Gymnastics
158,158,Marbles
159,159,Martial arts
160,160,Poker
161,161,Programming
162,162,Table football
163,163,Volleyball
164,164,Weightlifting
165,165,Airsoft
166,166,American football
167,167,Archery
168,168,Association football (Soccer)
169,169,Australian Football League
170,170,Auto racing
171,171,Climbing
172,172,Cricket
173,173,Cycling
174,174,Disc golf
175,175,Dog sport
176,176,Equestrianism
177,177,Exhibition Drill
178,178,Field Hockey
179,179,Figure skating
180,180,Fishing
181,181,Footbag
182,182,Football
183,183,Golfing
184,184,Handball
185,185,Ice hockey
186,186,Judo
187,187,Jukskei
188,188,Kart racing
189,189,Model aircraft making and flying
190,190,Paintball
191,191,Pigeon racing
192,192,Racquetball
193,193,Radio-controlled car racing (hobby grade)
194,194,Roller Derby
195,195,Rugby league football
196,196,Shooting sport
197,197,Skateboarding
198,198,Slot car racing
199,199,Speed skating
200,200,Squash
201,201,Table tennis
202,202,Target shooting
203,203,Tennis
204,204,Touch football
205,205,Tour skating
206,206,Observation hobbies
207,207,Microscopy
208,208,Shortwave listening
209,209,Videophilia (Home theater)
210,210,Outdoors[edit]
211,211,Aircraft spotting
212,212,Amateur astronomy
213,213,Amateur geology
214,214,Astrology
215,215,Birdwatching
216,216,Bus spotting
217,217,College football
218,218,Gongoozling
219,219,Herping
220,220,Meteorology
221,221,People watching
222,222,Trainspotting
223,223,Travel
224,224,Aircraft 
225,225,All-Terrain vehicles 
226,226,Alternative 
227,227,Animal 
228,228,Art/antique collecting 
229,229,Arts/cultural 
1019,1019,Automotive work/repair 
1020,1020,Baking 
1023,1023,Bicycling 
1024,1024,Big Band/Swing 
1025,1025,Bird feeding 
1027,1027,Bird Watching/Feeding 
1028,1028,Boating/sailing 
1029,1029,Book reading 
1030,1030,Books 
1031,1031,Books on Tape 
1032,1032,Books on tape/CD 
1033,1033,Books/magazines 
1034,1034,Buy videos 
1035,1035,Cable TV 
1036,1036,Cable TV Viewing 
1037,1037,Camping/hiking 
1038,1038,Career Advance Courses 
1039,1039,Career advancement 
1040,1040,Career improvement 
1041,1041,Career Oriented Activity Cars or Car Repair 
1042,1042,Casino gambling 
1043,1043,Casino vacation 
1044,1044,Children 
1301,1301,Children's books 
1302,1302,Children's products 
1303,1303,Christian or Gospel  Cigar smoking 
1304,1304,Civic activities 
1305,1305,Classical 
1306,1306,Clothing 
1307,1307,Coins 
1308,1308,Collectibles/Collections Community/Civic Activity 
1309,1309,Computer
1310,1310,Concealed weapons 
1312,1312,Cooking Low Fat 
1313,1313,Cooking or culinary 
1314,1314,Cosmetics 
1315,1315,Country 
1316,1316,Country lifestyle courses 
1317,1317,Crafts 
1318,1318,Cruise vacation 
1319,1319,Cultural/art events/theater 
1320,1320,Current affairs 
1321,1321,Dieting/weight control 
1322,1322,Dolls 
1323,1323,Donate to Charities 
1324,1324,DVD 
1325,1325,Electronics 
1326,1326,Exercise 3+ times a week 
1327,1327,Family vacation 
1328,1328,Fashion 
1329,1329,Fashion clothing 
1330,1330,Figurines 
1331,1331,Fine art 
1333,1333,Fitness 
1334,1334,Flying/pilots 
1335,1335,Food products 
1337,1337,Foreign Travel 
1338,1338,Frequent flyers 
1340,1340,Gifts 
1341,1341,Golf 
1342,1342,Gourmet Cooking 
1343,1343,Gourmet Cooking/Fine 
1344,1344,Gourmet foods/cooking Grandchildren 
1345,1345,Health 
1346,1346,Health/natural foods 
1347,1347,History 
1348,1348,Hockey
1349,1349,Home furnishing/decorating
1350,1350,Home furnishings 
1351,1351,Home Improvement or Repair 
1352,1352,Home PC 
1353,1353,Home study courses
1354,1354,Home video games 
1355,1355,Home video recording 
1356,1356,Home workshop 
1357,1357,Household pets 
1358,1358,Humanitarian/world relief 
1360,1360,Hunting/shooting 
1361,1361,Interior decorating 
1362,1362,Jazz 
1363,1363,Jewelry 
1364,1364,Knitting or Needlework 
1365,1365,Life Insurance 
1366,1366,Likes to Read 
1367,1367,Lotteries/Sweepstakes 
1368,1368,Magazines 
1369,1369,Mail Order 
1370,1370,Medical or health 
1371,1371,Medicare coverage 
1372,1372,Military veteran 
1373,1373,Money opportunities 
1374,1374,Motorcycle riding 
1375,1375,Motorcycles 
1376,1376,Mutual funds 
1377,1377,Mystery 
1378,1378,NASCAR™ 
1379,1379,Nation’s heritage 
1380,1380,Natural health remedies 
1381,1381,Natural/herbal/organic 
1382,1382,Needlework/knitting 
1383,1383,Online purchaser 
1384,1384,Own a cat 
1385,1385,Own a CD player/DVD player 
1386,1386,Own a cellular phone 
1387,1387,Own a dog 
1388,1388,Own a horse 
1389,1389,People or entertainment 
1390,1390,Personal International 
1392,1392,Physical fitness 
1393,1393,Plus Size Clothing 
1394,1394,Plus-size clothing 
1395,1395,Political/conservative 
1396,1396,Political/liberal 
1397,1397,Powerboating 
1398,1398,Real estate 
1399,1399,Recreational vehicles
1400,1400,Religious 
1401,1401,Rhythm and Blues 
1402,1402,Rock and Roll 
1403,1403,Romance 
1405,1405,Running/jogging 
1406,1406,RV 
1408,1408,Science/New Technology 
1410,1410,Scuba 
1411,1411,Self-Improvement 
1412,1412,Self-Improvement Courses 
1414,1414,Shoes 
1415,1415,Snow skiing 
1416,1416,Snowmobiles 
1417,1417,Sports 
1418,1418,Sports on TV 
1419,1419,Stamps 
1420,1420,Stereo/Records/Tapes/CDs 
1421,1421,Stocks/bonds 
1422,1422,Sweepstakes/Contests 
1423,1423,Swimming pool 
1425,1425,Theater/Performing Arts 
1426,1426,Timeshare 
1427,1427,US Travel 
1428,1428,Vacation cruises 
1429,1429,Video/DVD 
1430,1430,Vitamin supplements 
1431,1431,Walking 
1432,1432,Walking/health 
1433,1433,Want further mailings 
1435,1435,Wildlife/environment 
1436,1436,Wine Appreciation 
1437,1437,Wines 
1438,1438,Wood Working
1439,1439,Indoors
1440,1440,3D Printing
1441,1441,A vintage scrapbook
1442,1442,Animal fancying
1443,1443,Amateur radio
1444,1444,Audiophilia
1445,1445,Baton twirling
1446,1446,Bboying
1447,1447,Blogging
1448,1448,Chainmail making
